665,560,490,point_id,coarse,clay,sand,silt,phc,phh,ec,caco3,p,n,k,elevation,lc1,lu1,stones,lon,lat,oc
0.763676,0.832794,0.951745,46442722,-9999.0,-9999.0,-9999.0,-9999.0,5.2,5.37,75.1,0,20.4,4.5,143.3,782,E20,U111,1,36.3,14.289103434,47.527363854
0.769394,0.863565,0.95356,46522722,-9999.0,-9999.0,-9999.0,-9999.0,4.6,4.83,93.2,0,61.6,5.7,163.3,684,E20,U111,1,42.6,14.395117418,47.523142189
0.815166,0.956967,1.072489,46882726,-9999.0,-9999.0,-9999.0,-9999.0,4.0,4.2,30.5,0,23.8,3.4,89.8,807,C21,U120,3,37.4,14.875367087,47.53878371
0.842054,0.950161,1.045911,47122726,-9999.0,-9999.0,-9999.0,-9999.0,6.9,7.16,102.4,89,28.8,6.9,235.0,670,E20,U111,1,77.2,15.193297168,47.524101181
0.660626,0.786966,0.964338,46422682,-9999.0,-9999.0,-9999.0,-9999.0,4.7,4.97,36.7,0,20.6,4.5,74.8,812,E20,U111,1,39.3,14.233206287,47.16903157
0.656116,0.781228,0.940658,46842682,-9999.0,-9999.0,-9999.0,-9999.0,5.1,5.32,29.8,0,35.0,1.9,97.1,735,B35,U111,1,16.3,14.785808634,47.14603895
0.721121,0.850123,1.008291,46862684,-9999.0,-9999.0,-9999.0,-9999.0,4.4,4.66,30.8,0,28.1,3.7,154.4,693,C21,U120,1,38.9,14.813766958,47.162834739
0.608704,0.736239,0.929031,45482622,-9999.0,-9999.0,-9999.0,-9999.0,4.6,5.14,7.52,0,8.6,3.4,55.7,775,C21,U120,1,43.4,12.964453622,46.670592218
0.776097,0.832979,0.929954,46882710,-9999.0,-9999.0,-9999.0,-9999.0,4.6,4.81,50.3,0,23.0,2.6,0.8,683,E20,U111,1,20.8,14.861846219,47.395129129
0.896514,1.040841,1.139779,44382686,-9999.0,-9999.0,-9999.0,-9999.0,4.0,4.29,78.1,0,55.4,10.7,91.8,601,D10,U120,1,146.9,11.54529227,47.276605751
0.861996,1.012438,1.12593,42942676,-9999.0,-9999.0,-9999.0,-9999.0,4.9,5.03,128.3,0,16.5,7.1,81.8,940,C33,U120,1,96.7,9.643965586,47.196987675
0.700775,0.802908,0.930225,44302682,-9999.0,-9999.0,-9999.0,-9999.0,6.7,6.87,41.6,7,19.2,4.2,42.6,845,E20,U111,1,34.2,11.438662141,47.242057416
0.687285,0.781038,0.885641,44542698,-9999.0,-9999.0,-9999.0,-9999.0,6.9,7.16,27.2,44,22.6,3.6,17.9,525,E20,U111,1,35.1,11.760197274,47.381378042
0.567,0.683357,0.813462,45642724,-9999.0,-9999.0,-9999.0,-9999.0,7.2,7.63,25.1,239,8.5,2.6,60.8,502,D10,U120,3,47.0,13.229296132,47.581894882
0.737431,0.862777,0.971746,45622768,-9999.0,-9999.0,-9999.0,-9999.0,3.9,4.22,47.6,0,14.7,5.2,95.1,551,C21,U120,1,55.5,13.227541207,47.978218121
0.633448,0.766647,0.932743,45482768,-9999.0,-9999.0,-9999.0,-9999.0,5.2,5.51,23.4,0,42.9,3.1,203.7,626,E20,U111,1,26.1,13.040242575,47.983558515
0.737629,0.872937,0.983105,45542782,-9999.0,-9999.0,-9999.0,-9999.0,3.8,4.53,12.18,0,70.4,5.4,98.1,453,C10,U120,2,78.5,13.128245738,48.107154588
0.852429,1.005159,1.123993,46102726,-9999.0,-9999.0,-9999.0,-9999.0,7.1,7.33,74.1,93,153.9,7.7,191.9,894,C33,U120,3,80.0,13.841049153,47.58010261
0.530029,0.65551,0.818691,46182722,-9999.0,-9999.0,-9999.0,-9999.0,5.3,5.67,25.6,0,5.7,2.7,26.9,822,E20,U111,1,24.3,13.944452608,47.540373091
0.710858,0.864757,1.013256,45882646,-9999.0,-9999.0,-9999.0,-9999.0,5.1,5.44,35.0,0,34.2,5.2,88.6,879,E20,U111,1,45.2,13.500454948,46.870773607
0.994,1.122338,1.228081,46782766,-9999.0,-9999.0,-9999.0,-9999.0,6.6,6.81,62.3,3,12.4,9.1,635.9,554,C31,U120,1,104.3,14.776151392,47.903756851
0.7896,0.92645,1.023347,46942878,-9999.0,-9999.0,-9999.0,-9999.0,3.3,3.85,17.06,0,47.8,4.8,12.1,566,C21,U120,1,91.5,15.090423339,48.899201094
0.631297,0.780388,0.924367,47022884,-9999.0,-9999.0,-9999.0,-9999.0,3.5,4.04,8.22,0,19.5,2.5,10.0,627,C21,U120,1,45.7,15.204942584,48.947993582
0.558353,0.692485,0.861512,47042874,-9999.0,-9999.0,-9999.0,-9999.0,5.1,5.53,17.15,0,38.2,1.4,218.1,522,B16,U111,1,10.5,15.222705322,48.857030638
0.699376,0.838257,0.983247,45462768,-9999.0,-9999.0,-9999.0,-9999.0,4.9,5.1,80.1,0,34.6,4.2,41.7,430,E20,U111,1,33.4,13.013482749,47.984295389
0.752593,0.895142,1.005678,45442766,-9999.0,-9999.0,-9999.0,-9999.0,3.6,3.95,28.3,0,30.7,5.2,72.7,459,C21,U120,1,75.7,12.985669221,47.967045618
0.735717,0.880265,1.023544,45462760,-9999.0,-9999.0,-9999.0,-9999.0,5.1,5.38,61.6,0,70.3,5.1,96.7,669,E20,U111,1,42.1,13.009238832,47.912375052
0.74443,0.881227,1.016973,45562730,-9999.0,-9999.0,-9999.0,-9999.0,6.6,6.81,218.0,15,68.3,9.0,246.0,465,A30,U319,1,79.1,13.126364514,47.638929172
0.606112,0.71927,0.870845,45562754,-9999.0,-9999.0,-9999.0,-9999.0,6.8,7.2,50.9,23,53.8,5.1,5.0,617,E20,U111,1,45.6,13.139529573,47.854694228
0.761829,0.904236,1.02994,46822808,-9999.0,-9999.0,-9999.0,-9999.0,4.1,4.5,39.3,0,68.3,5.7,87.5,0,C21,U120,2,60.5,14.865542387,48.27840372
0.700924,0.826047,0.949178,47002806,-9999.0,-9999.0,-9999.0,-9999.0,4.0,4.37,32.5,0,35.5,4.9,30.7,697,C21,U120,1,55.0,15.105657835,48.249526763
0.797579,0.946767,1.097324,46722822,-9999.0,-9999.0,-9999.0,-9999.0,5.3,5.48,61.4,0,37.1,5.4,66.8,666,E20,U111,1,56.2,14.742918041,48.409908319
0.745066,0.886738,1.038746,47802696,-9999.0,-9999.0,-9999.0,-9999.0,3.9,4.46,12.17,0,24.7,3.1,97.7,653,C32,U120,1,54.4,16.061626337,47.208481309
0.607011,0.730138,0.87981,47682690,-9999.0,-9999.0,-9999.0,-9999.0,3.8,4.38,9.24,0,18.2,2.1,26.3,415,C21,U120,1,33.2,15.897656855,47.163379651
0.732699,0.863055,1.004478,46922800,-9999.0,-9999.0,-9999.0,-9999.0,5.0,5.3,35.1,0,57.3,2.9,126.7,424,E20,U111,1,23.4,14.992859089,48.200605534
0.710797,0.837065,1.017086,47742710,-9999.0,-9999.0,-9999.0,-9999.0,5.5,5.72,42.7,0,39.6,2.7,69.5,395,B16,U111,1,21.8,15.997163017,47.338417614
0.862748,1.02046,1.130547,46522836,-9999.0,-9999.0,-9999.0,-9999.0,4.8,4.99,94.8,0,62.4,7.6,244.7,682,E20,U111,1,70.9,14.484499337,48.546822641
0.599056,0.726856,0.923696,47722698,-9999.0,-9999.0,-9999.0,-9999.0,5.4,5.69,22.3,0,54.0,1.8,182.1,321,F40,U111,1,11.7,15.958433271,47.232253314
0.60726,0.687585,0.898372,47862672,-9999.0,-9999.0,-9999.0,-9999.0,6.5,6.63,8.72,0,16.4,0.6,92.9,328,B16,U111,1,4.0,16.115307781,46.988824836
0.64249,0.770024,0.92955,47742674,-9999.0,-9999.0,-9999.0,-9999.0,3.9,4.4,8.39,0,18.8,2.7,124.7,365,C32,U120,1,42.7,15.960136804,47.015551125
0.618159,0.746537,1.000339,47662698,-9999.0,-9999.0,-9999.0,-9999.0,5.7,6.0,7.99,0,83.2,2.1,288.4,392,B55,U111,1,18.0,15.87945824,47.236564335
0.651976,0.778782,0.934975,46902810,-9999.0,-9999.0,-9999.0,-9999.0,5.9,6.11,12.84,0,41.5,3.0,124.6,0,B55,U111,1,28.1,14.974848893,48.291558227
0.740373,0.889467,1.042145,46862842,-9999.0,-9999.0,-9999.0,-9999.0,5.9,6.15,19.04,0,41.9,3.7,468.6,716,B18,U111,1,37.7,14.949293684,48.581122602
0.665689,0.794343,0.928054,47622700,-9999.0,-9999.0,-9999.0,-9999.0,6.0,6.27,17.51,0,15.1,2.5,217.1,683,C21,U120,1,33.3,15.828811139,47.257346115
0.584323,0.711002,0.891583,47842688,-9999.0,-9999.0,-9999.0,-9999.0,4.8,5.17,24.1,0,30.2,2.7,79.6,280,B35,U111,1,22.3,16.10583434,47.133789135
0.692039,0.819257,0.995868,47862690,-9999.0,-9999.0,-9999.0,-9999.0,4.3,4.6,27.5,0,25.3,2.7,141.0,298,C23,U120,1,39.5,16.134211783,47.150237947
0.813373,0.944467,1.118314,47322686,-9999.0,-9999.0,-9999.0,-9999.0,6.0,6.22,23.0,0,19.8,5.1,155.5,559,C33,U120,1,78.1,15.420502863,47.152217573
0.543804,0.662779,0.877965,47782686,-9999.0,-9999.0,-9999.0,-9999.0,6.0,6.36,8.0,0,22.7,1.6,135.8,330,B13,U111,1,13.7,16.024947146,47.120269709
0.654023,0.78244,0.97556,47642682,-9999.0,-9999.0,-9999.0,-9999.0,6.6,6.85,18.34,3,32.2,2.3,153.0,310,B13,U111,1,19.4,15.837046886,47.094467855
0.749503,0.879377,0.999434,46642802,-9999.0,-9999.0,-9999.0,-9999.0,5.9,6.08,173.4,6,208.8,7.1,967.1,243,C10,U120,2,65.1,14.618588268,48.234943024
0.735779,0.870461,0.985509,47642704,-9999.0,-9999.0,-9999.0,-9999.0,6.6,6.81,37.5,5,24.7,3.1,75.0,431,C32,U120,1,47.5,15.859191304,47.291805193
0.716933,0.841048,0.991128,47462692,-9999.0,-9999.0,-9999.0,-9999.0,4.4,4.78,26.6,0,19.3,3.0,120.9,501,E20,U111,1,28.4,15.610321633,47.196686282
0.750491,0.912528,1.069204,46842852,-9999.0,-9999.0,-9999.0,-9999.0,5.6,5.96,58.5,0,37.5,5.6,620.9,634,E20,U111,1,44.8,14.931104187,48.672054789
0.523075,0.649402,0.829791,47182790,-9999.0,-9999.0,-9999.0,-9999.0,5.0,5.27,21.4,0,25.7,1.6,172.5,335,B16,U111,1,11.2,15.332260832,48.094538631
0.98301,1.125604,1.238959,47002816,-9999.0,-9999.0,-9999.0,-9999.0,3.4,4.08,17.66,0,57.8,8.5,116.9,813,C31,U120,1,145.2,15.114752369,48.33925149
0.612005,0.744593,0.895281,47522800,-9999.0,-9999.0,-9999.0,-9999.0,4.3,4.66,30.4,0,29.9,2.8,67.1,330,C10,U120,1,26.9,15.797586595,48.161193746
0.836604,0.972021,1.097679,47982796,-9999.0,-9999.0,-9999.0,-9999.0,7.2,7.68,35.6,100,37.4,2.4,497.3,172,B23,U111,1,25.8,16.409187938,48.091172425
