,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6540751837150345,0.6550494537255971,0.6327696221032455,0.6660453042984658,0.6658898144190211,0.6298572924852612,0.6601364349789586,0.6723528197487723
I-0-1,0.6575020499863427,0.6642388396082375,0.6615596979366893,0.6663644504799858,0.6559364125845011,0.6646096388093404,0.6727689545488678,0.6597814778968638
I-0-2,0.6676690071144222,0.6641878143990552,0.6591335287246828,0.6765107195050708,0.6706503460443463,0.6622726515301993,0.6542612699906605,0.6725040824306673
I-0-3,0.6578588500402072,0.6696254596908808,0.6697333624305162,0.6209244898953267,0.648958086366752,0.6731205854917178,0.6177621811808791,0.6495489016302882
I-0-4,0.6722426108139408,0.6467096199017998,0.6715319775912778,0.6576190526486434,0.6544478515346192,0.656859082093462,0.6610044732912101,0.6635628741118365
I-0-5,0.6567915369869562,0.6763654318783702,0.6372041382537721,0.6574904329789395,0.6658209611842225,0.6731026320689557,0.672632418439979,0.6653557973586656
I-0-6,0.6704858760663239,0.6657089827439182,0.66294948256477,0.6702642797162339,0.619792911806969,0.6670525874301059,0.6711319420829756,0.6688520467092895
I-0-7,0.6618185819448676,0.6670903019421728,0.6595760765015244,0.672129588429125,0.6491158770743417,0.64157208229353,0.6635405371491863,0.6665586549226917
I-0-8,0.6685184738736641,0.6345420580316468,0.6708170174921648,0.6116625999466414,0.6711136150605603,0.6250683566368525,0.6489667900609847,0.6592455668281743
I-0-9,0.6573760737647381,0.6662005035617902,0.6591785924457656,0.6654115480900815,0.6582847278719314,0.6647220499037928,0.671029926490467,0.668006573333522
