,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6546653843767873,0.6706920220561572,0.6653785157638905,0.6257423995414376,0.6728497124006996,0.6382557734693183,0.6694223655659255,0.6632619295926361
I-0-1,0.6580682226327953,0.6685141115542748,0.6674851551736459,0.6534963129858021,0.6709769388107203,0.6668327466306867,0.6353559315955006,0.662786935318793
I-0-2,0.6674480373076688,0.6608013653097882,0.655078771673693,0.6489834655279068,0.6673836112327712,0.6687322883293045,0.6566975745424888,0.6701111333732658
I-0-3,0.6492580570156928,0.6569944603782905,0.6564778081243428,0.6527207125285314,0.6679078696044247,0.660980576971114,0.6510566945960112,0.6679033518893429
I-0-4,0.6145309831145493,0.6469159698628932,0.6592280727782778,0.6642052409289306,0.6520784393209922,0.6617585873628109,0.614528835630296,0.6591417535985336
I-0-5,0.6568386597287992,0.6618311641549152,0.6462196951519013,0.6575922805250588,0.6724803789390116,0.6650608707545469,0.6395536901668892,0.6554291906274818
I-0-6,0.6307690630877489,0.6653335847846068,0.6281524892149504,0.6677367312748448,0.6660101914246217,0.6587179042188809,0.6661627691231555,0.6620791927264338
I-0-7,0.6725803124847193,0.6668022181020238,0.6515797799390461,0.6654495889974917,0.6671754324465211,0.6704167301879846,0.6451096814664325,0.6294693327608494
I-0-8,0.6649822435749841,0.6547943952435633,0.6719506398569566,0.6663080205661912,0.6642854985190718,0.5807793122981166,0.666574133339124,0.6598670145750445
I-0-9,0.6508746832490435,0.6684500300336238,0.6391443738365188,0.6662990477712151,0.6618755147121458,0.6507108629512792,0.6576204564649706,0.6131663760045419
