,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6427986215485058,0.6488615995254605,0.6520649134526322,0.6481728489009917,0.6418970067776266,0.6304050567636028,0.6387360110630518,0.6415680519384348
I-0-1,0.6419727690847908,0.6365310924150809,0.64395123333412,0.6449320678850945,0.6465192239532058,0.6370617670869508,0.6329452416699055,0.6507806261311893
I-0-2,0.6386316927289277,0.6400671307560004,0.6509471193035141,0.6410146020973135,0.6452081866522599,0.648229631068318,0.6494360336860798,0.648801018370973
I-0-3,0.6405148758723578,0.6525057927050139,0.6396192310050863,0.6405189511628857,0.6440699933265628,0.6488249684753612,0.6461850799213114,0.6471365731019638
I-0-4,0.641560880184934,0.6448665407749101,0.6336974824678403,0.6336163488878882,0.6484156466414335,0.6451674809149528,0.6485970494164546,0.6386076183030579
I-0-5,0.6286926489148987,0.6353386569418511,0.6452476324584089,0.652710641445382,0.6500082065498867,0.6454488747212639,0.6428816044808184,0.6376689776024329
I-0-6,0.6429832727567233,0.6482518840088058,0.6430960120559162,0.6486272047251698,0.6501791496394513,0.6532697727727448,0.6509453713507896,0.6414518202022925
I-0-7,0.6474410596186229,0.634668784136395,0.6388939769348276,0.6341587068681351,0.635648066105172,0.6401530175824168,0.6523550939770144,0.6403356442606751
I-0-8,0.6381045889482513,0.6509171303786574,0.6508217622087022,0.61887582492655,0.6321803321893008,0.648186696448344,0.6513061292177666,0.632566915622155
I-0-9,0.639521646222967,0.6439771334474571,0.649074467392437,0.6385114402105327,0.6486283000442172,0.6439260672333038,0.6484577756856489,0.6404777528793435
