,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6496366870359918,0.6411399107784692,0.6423060764871193,0.6461111614489866,0.6496395666375268,0.6462598230596155,0.6434858945599928,0.6453090461249278
I-0-1,0.631716944418721,0.6393626193784019,0.6377429994535042,0.6519088711194536,0.6482512333334365,0.6467639098161332,0.6505051895868035,0.6393496526174267
I-0-2,0.6377615279891311,0.6417496904582108,0.6297448131300365,0.6507677880626337,0.6324532265977969,0.6472546889852411,0.6466156612657373,0.6422499150335608
I-0-3,0.6395801728829664,0.6462446105231375,0.6482237119400016,0.6541299775905405,0.647632045036854,0.6439111550091539,0.6371506683733081,0.6451603811412845
I-0-4,0.6482233373369588,0.6421662152421933,0.6480003664626741,0.6482784896443861,0.6106461449246908,0.6387754300602738,0.634987045138334,0.6598947720505253
I-0-5,0.6472936610853421,0.640662999873739,0.6425554017269669,0.6482964298410774,0.6485963279864213,0.6284801978570986,0.6486596612301994,0.6443621906128993
I-0-6,0.6451975335336291,0.6431056396984647,0.6458310467552499,0.6321247646329624,0.6403457716514429,0.6636250753497257,0.64064116591689,0.6495334748840925
I-0-7,0.6495727004945772,0.63889998737994,0.6507941403320519,0.6514159007392039,0.6539230101467067,0.6469521103011955,0.6515542884535142,0.6451301631049255
I-0-8,0.6419815434623546,0.6400920974652673,0.6314012288181019,0.6479623591851812,0.6339493051596955,0.6486904258859979,0.6455957565661316,0.6377370480602833
I-0-9,0.6402886442734099,0.6320865021574594,0.6504393710705907,0.6430218528537195,0.6536304050118764,0.6355600461842272,0.644618346176755,0.6509093421077722
