,RGB_oc,RGB-phc_oc,RGB-phh_oc,RGB-ec_oc,RGB-caco3_oc,RGB-p_oc,RGB-n_oc,RGB-k_oc
I-0-0,0.5990168224199299,0.7206807715809231,0.0,0.0,0.0,0.0,0.0,0.0
I-0-1,0.7098973700193998,0.7762333018570562,0.0,0.0,0.0,0.0,0.0,0.0
I-0-2,0.5431904480970589,0.676858703030579,0.0,0.0,0.0,0.0,0.0,0.0
I-0-3,0.6186129662342892,0.7303533373172766,0.0,0.0,0.0,0.0,0.0,0.0
I-0-4,0.6331586106460405,0.7405819991768932,0.0,0.0,0.0,0.0,0.0,0.0
I-0-5,0.599628304510017,0.7037202191364994,0.0,0.0,0.0,0.0,0.0,0.0
I-0-6,0.672308932557317,0.7498951145246389,0.0,0.0,0.0,0.0,0.0,0.0
I-0-7,0.6540808422463846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I-0-8,0.6102575124803009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I-0-9,0.6588451245464132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
