,RGB_oc,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6457470601161674,0.6386850846317687,0.6452649356459602,0.6535462705547086,0.6604834120666194,0.637627737207539,0.6376698844989934,0.6129737004781659,0.6437155795763814
I-0-1,0.6277964994047254,0.6089424799693658,0.6340748527458694,0.6365590538299031,0.6134362300192784,0.6330355747753527,0.639886609075334,0.6251778054799386,0.6501795240317033
I-0-2,0.6420744015638646,0.6395853564480359,0.6231964594659005,0.6463714911770904,0.646965263367802,0.6413256864281364,0.6687630837816839,0.6269714483612239,0.6182677036418569
I-0-3,0.6457450787792565,0.6410490874055732,0.6376760809427139,0.6427458726349018,0.6239670475447188,0.6413269618753747,0.6378599171652933,0.659885465643344,0.637570334872118
I-0-4,0.6512662976120734,0.6339018951210201,0.6222698470429873,0.6387358971528143,0.6186191066826423,0.6320198459115393,0.6370614875034748,0.6371674097467974,0.6502650668600889
I-0-5,0.6410878718557906,0.6374658309928614,0.636588536930666,0.6382124460424488,0.670207702080234,0.6376149613516782,0.6259530638174953,0.6666117723414731,0.6467952033284774
I-0-6,0.6315604624029777,0.6209872582229601,0.657016329456209,0.6427631928649109,0.6196313607031814,0.6406298836665283,0.6390306434509705,0.6705323927372508,0.6432627445489351
I-0-7,0.6411847436455489,0.6658129488266927,0.6471006000651721,0.6374732150479336,0.6194630143664055,0.6419650265730048,0.6351513149778755,0.631351255143539,0.6341570801661911
I-0-8,0.6456342270179014,0.6397095948724778,0.6207659898149006,0.6382712718844368,0.6120279531667088,0.6397963605383529,0.6377420551378896,0.629912574088233,0.6226559740313584
I-0-9,0.6395770439984709,0.6391525815239117,0.6242958350634809,0.6427310370205512,0.6162109122122414,0.6415909199450032,0.6356520415341631,0.6297066658097359,0.6416181943045436
