,RGB_phc_oc,RGB_phh_oc,RGB_ec_oc,RGB_caco3_oc,RGB_p_oc,RGB_n_oc,RGB_k_oc,RGB_stones_oc
I-0-0,0.6441797465435941,0.6654002529823431,0.6381962424985421,0.653542597702908,0.6505006486548244,0.6464112702209606,0.6495663772327479,0.640625458307156
I-0-1,0.6510198299737315,0.64942673581376,0.6437593519302252,0.6632495938820009,0.6555249121011226,0.6631938180118441,0.6293723926752117,0.6555925998662595
I-0-2,0.6771401010668454,0.6353793764736699,0.6483315282233668,0.674680010226997,0.6496793297106278,0.6421548850652317,0.6523640734177137,0.6492870708891736
I-0-3,0.6527122610319391,0.6525521737780141,0.6482083629204692,0.6454248158450613,0.641365678269375,0.6442239550223983,0.6282625629806668,0.6496846157025282
I-0-4,0.6566898923313444,0.6452977434954245,0.6479045962456254,0.6739882822621989,0.6504478010334183,0.6474267861494325,0.6474939109833695,0.627415160815559
I-0-5,0.6458987952477726,0.6398603050051757,0.650075416910848,0.5963306571495484,0.6516823591790352,0.6369483833621576,0.6685734061032527,0.658133838105724
I-0-6,0.6484368695231979,0.650895759931436,0.6510908307758858,0.6433040753248174,0.6488752914780722,0.647172087190093,0.6026276480415609,0.6126363755945419
I-0-7,0.6580536328345377,0.6508640971328254,0.6955025787671476,0.6329561473470982,0.6375530629376785,0.6735071506588282,0.6512699923629063,0.6543541132472092
I-0-8,0.6427782402505573,0.6310300865793703,0.6456978707436825,0.6446016571395765,0.6527523216586397,0.6451218674954278,0.6475296432957015,0.6384392288923979
I-0-9,0.6510193117076148,0.650847131281908,0.6743149117124914,0.6067276038391499,0.6507373521122558,0.6878677885031848,0.6521287921851089,0.6506717573059779
