,RGB_oc,RGB_clay_oc,RGB_sand_oc,RGB_silt_oc,RGB_clay-sand_oc,RGB_sand-silt_oc,RGB_silt-clay_oc,RGB_clay-sand-silt_oc
I-0-0,0.5334866305364903,0.5238367062826594,0.4626624672545441,0.4783248606691577,0.3461585128710819,0.4038071496137232,0.3362397743196732,0.0
I-0-1,0.6129934491741349,0.45986760513077307,0.4987900427738229,0.541481851559098,0.33102983092294147,0.32451978804805326,0.33314605041419265,0.0
I-0-2,0.49848431929599524,0.5440263845377753,0.5104571773736928,0.45447547505457275,0.26784818508408725,0.34354128090781,0.3020603318782905,0.0
I-0-3,0.5940926278726375,0.5076534336852621,0.5338132769742168,0.5399478996131699,0.3323790590736233,0.3185665787979298,0.33530598614852625,0.0
I-0-4,0.534567435600755,0.5515694043141979,0.5169595023436844,0.5015181200053302,0.3026291082729159,0.35229068943874686,0.3400647751868461,0.0
I-0-5,0.5730382921888356,0.5339692645973464,0.5433842860338773,0.5525808407762802,0.3163620967301355,0.3059186324445269,0.0,0.0
I-0-6,0.47218938870196014,0.5056291896866503,0.4699732955990912,0.520201417903512,0.3045151652660806,0.2803813370212761,0.0,0.0
I-0-7,0.4744483681131929,0.5491001439993066,0.4710171776983153,0.4889210564879589,0.35821094048090685,0.35660560824450027,0.0,0.0
I-0-8,0.5550326309925433,0.44607802283511355,0.4803786877308125,0.4982577979241677,0.35259010564828097,0.3256948454824503,0.0,0.0
I-0-9,0.47456193836156213,0.5356982748448917,0.4653227569834165,0.522434766017785,0.3826715224368622,0.3650683786474245,0.0,0.0
